date,open,high,low,close,Volume
5/1/1981,0.67641147,0.67641147,0.67641147,0.67641147,68764
6/1/1981,0.67641147,0.67641147,0.67641147,0.67641147,114607
7/1/1981,0.67641147,0.67641147,0.67641147,0.67641147,114607
8/1/1981,0.67641147,0.6822426,0.67641147,0.6822426,119879
9/1/1981,0.6822426,0.6822426,0.6822426,0.6822426,11461
12/1/1981,0.67641147,0.6822426,0.67641147,0.6822426,110366
13/1/1981,0.6822426,0.68807372,0.6822426,0.68807372,446966
14/1/1981,0.68807372,0.69098929,0.68807372,0.69098929,481692
15/1/1981,0.69098929,0.69098929,0.68807372,0.68807372,194831
16/1/1981,0.68807372,0.68807372,0.68807372,0.68807372,1214831
20/1/1981,0.68807372,0.68807372,0.68807372,0.68807372,284454
21/1/1981,0.68807372,0.68807372,0.68807372,0.68807372,91685
22/1/1981,0.68807372,0.68807372,0.68807372,0.68807372,279984
23/1/1981,0.69098929,0.69098929,0.69098929,0.69098929,447883
26/1/1981,0.68807372,0.68807372,0.68807372,0.68807372,285027
28/1/1981,0.69098929,0.69098929,0.69098929,0.69098929,389663
30/1/1981,0.68807372,0.68807372,0.68807372,0.68807372,160449
2/2/1981,0.68807372,0.68807372,0.68807372,0.68807372,11461
4/2/1981,0.6822426,0.6822426,0.6822426,0.6822426,137528
5/2/1981,0.68807372,0.68807372,0.68807372,0.68807372,24297
6/2/1981,0.68807372,0.68807372,0.68807372,0.68807372,285371
9/2/1981,0.6822426,0.68807372,0.6822426,0.68807372,121483
10/2/1981,0.68807372,0.68807372,0.68807372,0.68807372,106470
11/2/1981,0.68807372,0.69098929,0.68807372,0.69098929,839265
12/2/1981,0.69098929,0.69098929,0.69098929,0.69098929,1392587
13/2/1981,0.68807372,0.68807372,0.68807372,0.68807372,137528
16/2/1981,0.68807372,0.68807372,0.68807372,0.68807372,462094
17/2/1981,0.68807372,0.68807372,0.68807372,0.68807372,322274
18/2/1981,0.68807372,0.68807372,0.68807372,0.68807372,668845
20/2/1981,0.6822426,0.6822426,0.6822426,0.6822426,288121
23/2/1981,0.68807372,0.69098929,0.68807372,0.69098929,1102746
24/2/1981,0.69098929,0.69098929,0.68807372,0.68807372,473899
26/2/1981,0.68807372,0.68807372,0.68807372,0.68807372,57876
27/2/1981,0.68807372,0.68807372,0.68807372,0.68807372,82058
2/3/1981,0.68807372,0.68807372,0.68807372,0.68807372,23494
3/3/1981,0.69098929,0.69098929,0.68807372,0.68807372,171910
4/3/1981,0.68807372,0.68807372,0.68807372,0.68807372,22921
5/3/1981,0.68807372,0.69098929,0.68807372,0.69098929,341643
9/3/1981,0.68807372,0.68807372,0.68807372,0.68807372,22921
10/3/1981,0.68807372,0.68807372,0.68807372,0.68807372,181308
11/3/1981,0.68807372,0.68807372,0.68807372,0.68807372,45843
12/3/1981,0.68807372,0.68807372,0.68807372,0.68807372,11461
13/3/1981,0.68807372,0.68807372,0.68807372,0.68807372,22807
16/3/1981,0.68807372,0.68807372,0.68807372,0.68807372,68764
17/3/1981,0.68807372,0.68807372,0.68807372,0.68807372,34382
20/3/1981,0.6822426,0.68807372,0.6822426,0.68807372,126067
24/3/1981,0.6822426,0.6822426,0.6822426,0.6822426,24755
26/3/1981,0.67641147,0.67641147,0.67641147,0.67641147,11461
27/3/1981,0.67641147,0.67641147,0.67641147,0.67641147,22921
30/3/1981,0.6822426,0.6822426,0.6822426,0.6822426,11461
31/3/1981,0.6822426,0.6822426,0.6822426,0.6822426,11461
1/4/1981,0.67641147,0.67641147,0.67641147,0.67641147,232308
2/4/1981,0.67058034,0.67058034,0.65600252,0.65600252,117701
